charactere;style;vectorial
a;square;[[(0, 0), (0, 4), (2, 4), (2, 0)], [(0, 2), (2, 2)]]
a;triangle;[[(-2, -1), (0, 5), (2, -1)], [(-1, 1), (1, 1)]]
b;square;[[(1, 1), (1, 5), (3, 5), (3, 4), (2, 3), (3, 2), (3, 1), (1, 1)], [(1, 3), (2, 3)]]
c;square;[[(1.5, 0), (0, 0), (0, 3), (1.5, 3)]]
d;square;[[(0, 0), (0, 8), (3, 8), (5, 5), (5, 3), (3, 0), (0, 0)]]
e;square;[[(2, 0), (0, 0), (0, 4), (2, 4)], [(0, 2), (2, 2)]]
f;square;[[(0, 0), (0, 4), (1.5, 4)], [(0, 2), (1, 2)]]
g;square;[[(0, 0), (-2, 0), (-2, -4), (0, -4), (0, -2), (-1, -2)]]
h;square;[[(0, 0), (0, 2)], [(1, 0), (1, 2)], [(0, 1), (1, 1)]]
i;square;[[(0, 0), (0.5, 0), (0.5, -1.5), (1, -1.5)], [(0, -1.5), (0.5, -1.5)], [(0.3, 0.3), (0.5, 0.3), (0.5, 0.5), (0.3, 0.5), (0.3, 0.3)]]
j;square;[[(0.4, 0), (0.4, -2), (-0.3, -2)], [(0.3, 0.3), (0.5, 0.3), (0.5, 0.5), (0.3, 0.5), (0.3, 0.3)]]
k;square;[[(0, 0), (0, 2)], [(0, 1), (1, 2)], [(0, 1), (1, 0)]]
l;square;[[(0, 2), (0, 0), (1, 0)]]
m;square;[[(0, 0), (0, 3), (1, 2), (2, 3), (2, 0)]]
n;square;[[(0, 0), (0, 1.7), (1, 0), (1, 1.7)]]
o;square;[[(0, 0), (0, 2), (1, 2), (1, 0), (0, 0)]]
p;square;[[(0, 0), (0, 2), (1, 2), (1, 1), (0, 1)]]
q;square;[[(0, 0), (0, 2), (1, 2), (1, 0), (0, 0)], [(0.5, 0.8), (1.4, 0)]]
r;square;[[(0, 0), (0, 2), (1, 2), (1, 1), (0, 1)], [(0.2, 1), (1, 0)]]
s;square;[[(0, 0.5), (0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 1.5)]]
t;square;[[(0, 0), (0, 2)], [(-0.5, 2), (0.5, 2)]]
u;square;[[(0, 0), (0, -2), (1, -2), (1, 0)]]
v;square;[[(0, 0), (0.5, -2), (1, 0)]]
w;square;[[(0, 2), (0.25, 0), (0.5, 1), (0.75, 0), (1, 2)]]
x;square;[[(0, 2), (1, 0)], [(0, 0), (1, 2)]]
y;square;[[(1, 2), (0, 0)], [(0, 2), (0.5, 1)]]
z;square;[[(0, 2), (1, 2), (0, 0), (1, 0)]]